Pekerjaan,TE1,TE2,TE3,TE4,TE5,TE6,TE7,TE8,TE9,TE10,TE11,TE12,TE13,TE14,TE15,EB1,EB2,EB3,EB4,EB5,EB6,EB7,EB8,EB9,KI1,KI2,KI3,KI4,KI5,KI6,KI7,KI8,KI9,MK1,MK2,MK3,MK4,MK5,MK6,MK7,MK8,MK9,MK10
Sipil,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju
Elit Politik,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Elit Politik,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju
Elit Politik,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju
Sipil,Sangat Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju
Sipil,Setuju,Setuju,Sangat Setuju,Kurang Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju
Elit Politik,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Sangat Setuju,Kurang Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Kurang Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Kurang Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Birokrasi,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Elit Politik,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Elit Politik,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Kurang Setuju,Setuju,Sangat Setuju
Birokrasi,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Sangat Setuju,Kurang Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Birokrasi,Setuju,Setuju,Setuju,Tidak Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Birokrasi,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju
Birokrasi,Setuju,Setuju,Setuju,Setuju,,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Kurang Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju
Birokrasi,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Elit Politik,Kurang Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Kurang Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Kurang Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Sipil,Sangat Setuju,Kurang Setuju,Kurang Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,,Setuju,Setuju,Setuju
Birokrasi,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Sipil,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Kurang Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Kurang Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Kurang Setuju,Kurang Setuju,Setuju
Birokrasi,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Sipil,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Tidak Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju
Elit Politik,Kurang Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
Sipil,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju
Birokrasi,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Swasta,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Kurang Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Birokrasi,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Elit Politik,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Elit Politik,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Kurang Setuju,Kurang Setuju,Kurang Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju
Birokrasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Sipil,Kurang Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Kurang Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju
Birokrasi,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Kurang Setuju,Kurang Setuju,Setuju,Kurang Setuju,Setuju,Tidak Setuju,Setuju,Kurang Setuju,Setuju,Setuju
Sipil,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Kurang Setuju,Kurang Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju
Birokrasi,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
Swasta,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju
